Normalized Wavelength,Intensity
669.8126,0.001570014
670.5319,0.001570956
671.2512,0.001571898
671.9706,0.00157284
672.6899,0.001573781
673.4092,0.001574723
674.1285,0.001575665
674.8478,0.001576607
675.5671,0.001577549
676.2864,0.001578491
677.0058,0.001579432
677.7251,0.001580374
678.4444,0.001581316
679.1637,0.001582258
679.8831,0.0015832
680.6024,0.001584142
681.3217,0.001585083
682.041,0.001586025
682.7603,0.001586967
683.4796,0.001587909
684.1989,0.001588851
684.9182,0.001589792
685.6376,0.001590734
686.3569,0.001591676
687.0762,0.001592618
687.7955,0.00159356
688.5156,0.0006583322
689.2349,0.0006592741
689.9542,0.0006602159
690.6735,0.0006611577
691.3921,0.001598269
692.1121,0.0006630414
692.8314,0.0006639831
693.5507,0.000664925
694.2701,0.0006658668
694.9894,0.0006668086
695.7079,0.00160392
696.4273,0.001604862
697.1466,0.001605803
697.8659,0.001606745
698.5859,0.0006715177
699.3052,0.0006724595
700.0246,0.0006734013
700.7439,0.0006743432
701.4632,0.000675285
702.1818,0.001612396
702.9011,0.001613338
703.6204,0.00161428
704.3397,0.001615222
705.0591,0.001616163
705.7791,0.0006809359
706.4984,0.0006818778
707.2177,0.0006828196
707.9363,0.001619931
708.6556,0.001620873
709.3749,0.001621814
710.0942,0.001622756
710.8136,0.001623698
711.5329,0.00162464
712.2522,0.001625582
712.9715,0.001626523
713.6909,0.001627465
714.4102,0.001628407
715.1295,0.001629349
715.8488,0.001630291
716.5681,0.001631232
717.2874,0.001632174
718.0067,0.001633116
718.7261,0.001634058
719.4454,0.001635
720.1647,0.001635942
720.884,0.001636883
721.6026,0.002573995
722.3226,0.001638767
723.0419,0.001639709
723.7612,0.001640651
724.4806,0.001641592
725.1999,0.001642534
725.9192,0.001643476
726.6385,0.001644418
727.3578,0.00164536
728.0771,0.001646302
728.7964,0.001647244
729.5157,0.001648185
730.2351,0.001649127
730.9544,0.001650069
731.6737,0.001651011
732.393,0.001651953
733.1124,0.001652894
733.8317,0.001653836
734.551,0.001654778
735.2703,0.00165572
735.9896,0.001656662
736.7089,0.001657604
737.4282,0.001658545
738.1476,0.001659487
738.8669,0.001660429
739.5862,0.001661371
740.3055,0.001662313
741.0248,0.001663254
741.7441,0.001664196
742.4634,0.001665138
743.1827,0.00166608
743.9021,0.001667022
744.6214,0.001667963
745.3407,0.001668905
746.06,0.001669847
746.7794,0.001670789
747.4994,0.0007355615
748.2187,0.0007365033
748.938,0.0007374451
749.6573,0.0007383869
750.3766,0.0007393287
751.0959,0.0007402706
751.8152,0.0007412124
752.5346,0.0007421543
753.2539,0.0007430961
753.9732,0.0007440379
754.6932,-0.0001911896
755.4125,-0.0001902478
756.1319,-0.000189306
756.8512,-0.0001883641
757.5705,-0.0001874223
758.2899,-0.0001864805
759.0092,-0.0001855387
759.7285,-0.0001845969
760.4478,-0.0001836551
761.1671,-0.0001827132
761.8864,-0.0001817714
762.6057,-0.0001808296
763.325,-0.0001798878
764.0444,-0.000178946
764.7637,-0.0001780041
765.483,-0.0001770623
766.2023,-0.0001761205
766.9216,-0.0001751787
767.6417,-0.001110406
768.361,-0.001109464
769.0803,-0.001108522
769.7996,-0.001107581
770.5182,-0.0001704696
771.2375,-0.0001695278
771.9568,-0.0001685859
772.6761,-0.0001676441
773.3954,-0.0001667023
774.1147,-0.0001657605
774.8341,-0.0001648186
775.5534,-0.0001638768
776.2727,-0.000162935
776.992,-0.0001619932
777.7114,-0.0001610514
778.4307,-0.0001601096
779.15,-0.0001591677
779.87,-0.001094395
780.5893,-0.001093453
781.3087,-0.001092512
782.028,-0.00109157
782.7473,-0.001090628
783.4659,-0.0001535168
784.1852,-0.000152575
784.9045,-0.0001516332
785.6238,-0.0001506914
786.3431,-0.0001497495
787.0624,-0.0001488077
787.7817,-0.0001478659
788.501,-0.0001469241
789.2204,-0.0001459822
789.9397,-0.0001450404
790.659,-0.0001440986
791.379,-0.001079326
792.0984,-0.001078384
792.8177,-0.001077443
793.537,-0.001076501
794.2563,-0.001075559
794.9756,-0.001074617
795.6942,-0.0001375059
796.4135,-0.0001365641
797.1329,-0.0001356222
797.8522,-0.0001346804
798.5715,-0.0001337386
799.2908,-0.0001327968
800.0101,-0.0001318549
800.7294,-0.0001309131
801.4487,-0.0001299713
802.168,-0.0001290295
802.8874,-0.0001280876
803.6067,-0.0001271459
804.326,-0.000126204
805.0453,-0.0001252622
805.7646,-0.0001243204
806.4839,-0.0001233786
