ecc_500,,ecc_510,,ecc_520,,ecc_490,,ecc_530,,ecc_526,,ecc_480,,ecc_470,,ecc_515,,ecc_460,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
556.9099731,452.4885254,566.8599854,479.5978088,577.0499878,432.6352844,547.0100098,348.5868835,586.8599854,330.7607422,582.8300171,393.8753357,537.0100098,119.5601501,526.960022,18.52019501,572.0499878,466.2350464,517.0100098,2.41528964,
557.9400024,449.3226624,567.9099731,462.9144287,577.9400024,417.9219666,548.0499878,362.0628662,587.9099731,318.3877563,583.8800049,375.5802917,538.0499878,133.9664001,528.0300293,21.82366753,572.9400024,449.0765076,518.0499878,2.893283367,
558.9699707,438.3555908,568.9500122,444.5957947,578.9699707,402.4597778,548.9500122,371.1725464,588.9500122,311.9314575,584.9199829,366.2913818,538.9500122,145.3417358,528.9299927,24.75304031,573.9699707,428.4996948,518.9500122,3.332281351,
559.8499756,424.989502,569.8499756,428.9875183,580,386.8437805,550,380.3873901,589.8499756,301.368866,585.8200073,351.5537415,540,161.2761841,530,28.99249077,575,411.5160522,520,4.003455639,
560.8900146,418.6437683,570.8800049,412.5279236,581.039978,371.0516968,551.0200195,385.3371887,590.8800049,291.1596985,586.8599854,339.8079834,541.039978,173.8537598,531.039978,33.31372452,576.0200195,397.6657104,521.0599976,4.868405342,
561.9400024,410.1877441,571.9099731,394.7350464,581.9400024,359.4851379,552.0499878,388.082489,591.9099731,281.0883484,587.9099731,329.1902466,541.9400024,188.8995056,531.9400024,37.67105865,577.0499878,379.7954712,521.960022,5.61127615,
562.9799805,398.565094,572.9400024,380.7039185,582.9799805,345.920929,552.9400024,394.6360168,592.9400024,271.6261597,588.9500122,317.9587402,542.9799805,201.5939178,532.9799805,43.77284622,577.9400024,367.0801697,523.0300293,6.635433197,
563.8800049,385.1238708,573.9699707,363.9967957,584.0200195,331.4943542,553.9699707,393.7569885,593.9699707,264.3225708,589.8499756,308.7299194,544.0200195,215.5379028,534.0200195,49.21084976,578.9699707,351.5620728,523.9299927,7.665602207,
564.9199829,371.9637756,574.8499756,352.2028809,585.0700073,321.5575562,555,390.9333496,594.8499756,256.0290527,590.8800049,297.9687805,545.0700073,227.3169556,535.0700073,56.03234863,580,334.5973511,525,9.063200951,
565.9699707,361.0798645,575.8800049,340.2642212,585.9699707,313.3941956,556.0200195,387.7781677,595.8800049,247.4256439,591.9099731,288.63797,545.9699707,239.0685425,535.9699707,62.70913696,581.039978,323.2377014,526.0599976,10.66572666,
566.8599854,352.9320068,576.9099731,327.1155701,587.0100098,305.2489014,557.0499878,383.6445313,596.9099731,239.2675171,592.9400024,279.5682678,547.0100098,250.3530273,537.0100098,69.01235962,581.9400024,313.2484436,526.960022,12.43150711,
567.9099731,337.4279785,577.9400024,311.2019958,588.0499878,291.5029602,557.9400024,374.3804626,597.9400024,231.7962799,593.8200073,273.1921082,548.0499878,258.5305176,538.0499878,77.14654541,582.9799805,300.8444824,528.0300293,14.58969307,
568.9500122,323.8873596,578.9699707,298.6252441,588.9500122,283.7097168,558.9699707,373.1516113,598.9699707,225.5810394,594.8499756,264.7936096,548.9500122,264.2659912,538.9500122,85.06689453,584.0200195,290.1802063,528.9299927,16.82205582,
569.8499756,308.7107849,579.8499756,289.6140747,590,275.2905579,560,363.6901855,599.8499756,220.4818115,595.8800049,255.5449829,550,272.4316406,540,94.09698486,585.0700073,280.7303467,530,19.74359512,
570.8800049,297.0688782,580.8900146,277.1899719,591.0200195,264.2875366,561.039978,356.3575745,600.8599854,212.2075958,596.9099731,246.7983398,551.0200195,275.8547058,541.039978,102.3801041,585.9699707,274.0967407,531.039978,22.56755829,
571.9099731,286.7872925,581.9400024,267.1719666,592.0499878,259.4404907,561.9400024,350.638092,601.8800049,203.4882507,597.9400024,240.9766998,552.0499878,278.4258728,541.9400024,109.6413116,587.0100098,264.5560608,531.9400024,25.35695648,
572.9400024,275.8216553,582.8300171,257.1767578,592.9400024,250.6675415,562.9799805,338.9208679,602.8900146,197.8117371,598.8200073,234.0639801,552.9400024,278.3024902,542.9799805,117.2471771,588.0499878,254.1576538,532.9799805,29.27472496,
573.9699707,262.9064331,583.8800049,248.8115845,593.9699707,244.7250061,564.0200195,328.5801392,603.9099731,189.6520538,599.8499756,224.3018951,553.9699707,280.3466187,544.0200195,125.4149551,588.9500122,247.4506989,534.0200195,33.31087112,
574.8499756,255.0672913,584.9199829,237.9996643,595,235.3744354,565.0700073,316.6933594,604.9199829,183.6845093,600.8599854,215.8857727,555,278.6312866,545.0700073,132.3049316,590,238.7933807,535.0700073,37.51296234,
575.8800049,243.8267212,585.9699707,232.9217224,596.0200195,228.0092926,565.9699707,306.677002,605.9400024,175.2264709,601.8800049,210.9850006,556.0200195,278.8034973,545.9699707,139.330368,591.0200195,231.7562256,535.9699707,41.72336197,
576.9099731,233.4629974,586.8599854,226.0025635,597.0499878,219.221756,567.0100098,295.2120361,606.9500122,169.1192017,602.8900146,204.6010742,557.0499878,273.6218567,547.0100098,145.7593536,592.0499878,224.8904266,537.0100098,46.83465195,
577.9400024,224.3138885,587.9099731,217.7649536,597.9400024,213.1394653,568.0499878,282.952179,607.9699707,164.9524841,603.9099731,195.4967346,557.9400024,269.2398987,548.0499878,151.0398254,592.9400024,219.0109558,538.0499878,52.08346558,
578.9699707,214.2552643,588.9500122,210.0246582,598.9699707,206.8020782,568.9500122,274.544281,608.8400269,158.7213593,604.9199829,188.3313446,558.9699707,264.8751831,548.9500122,153.9459686,593.9699707,211.3579254,538.9500122,57.68000793,
579.8499756,208.8055115,589.8499756,205.4376373,600,200.1925507,570,263.5141907,609.8499756,151.1614685,605.9400024,182.0238953,560,257.9291687,550,157.4534607,595,204.4416962,540,63.35485077,
580.8900146,200.8693848,590.8800049,197.1858978,601.0100098,193.2383575,571.0200195,251.6227264,610.8800049,146.1573334,606.9500122,175.0644684,561.039978,252.486908,551.0200195,161.1397095,596.0200195,197.8522797,541.039978,68.57030487,
581.9400024,191.1858063,591.9099731,190.3538666,602.0200195,187.3979645,572.0499878,243.0694275,611.9099731,140.3109894,607.8200073,169.0920258,561.9400024,246.887146,552.0499878,162.9484711,597.0499878,192.0259552,541.9400024,73.60108948,
582.9799805,183.5118561,592.9400024,184.3252411,603.039978,180.6079559,572.9400024,235.0206604,612.9400024,133.9241638,608.8400269,163.3401031,562.9799805,240.4385681,552.9400024,164.448761,597.9400024,185.1506195,542.9799805,78.67364502,
583.8800049,177.5964203,593.9699707,178.7460632,604.0499878,172.940033,573.9699707,225.6996002,613.9699707,127.9258881,609.8499756,156.1548615,564.0200195,233.7978516,553.9699707,163.6641235,598.9699707,180.9352875,544.0200195,83.86423492,
584.9199829,172.9570618,594.8499756,175.3491821,605.0700073,168.0814362,575,216.1684875,614.8499756,125.6576385,610.8800049,149.7272949,565.0700073,223.9571991,555,162.8305206,600,172.7284241,545.0700073,89.55032349,
585.9699707,166.0102997,595.8800049,168.3448486,605.9400024,161.8004913,576.0200195,207.4042511,615.8800049,120.4456558,611.9099731,144.3530579,565.9699707,216.9286346,556.0200195,161.4602356,601.0100098,168.5866699,545.9699707,92.95043945,
586.8599854,160.935791,596.9099731,163.0422821,606.9500122,157.1966095,577.0499878,198.7810516,616.9099731,113.7122116,612.9400024,139.0499268,567.0100098,209.4003754,557.0499878,159.1039124,602.0200195,162.794754,547.0100098,97.96268463,
587.9099731,156.4940186,597.9400024,158.3446198,607.9699707,149.9162903,577.9400024,191.6950378,617.9400024,108.3939667,613.8200073,134.0164948,568.0499878,200.3302917,557.9400024,157.2139282,603.039978,157.4874725,548.0499878,102.009613,
588.9500122,152.093811,598.9699707,152.9006653,608.9799805,143.4489746,578.9699707,184.0301514,618.9699707,104.2635193,614.8499756,128.3741608,568.9500122,193.9920807,558.9699707,153.9079132,604.0499878,150.0648499,548.9500122,103.8859634,
589.8499756,147.41539,599.8499756,149.8000336,610,137.4381104,580,176.2714691,619.8499756,100.1408005,615.8800049,122.459465,570,187.2531433,560,150.7367859,605.0700073,146.9096832,550,106.4883881,
590.8800049,141.9650421,600.8599854,143.762146,611.0200195,132.0575256,581.039978,169.7250214,620.8800049,95.68327332,616.9099731,117.9374542,571.0200195,179.6378784,561.039978,145.8996582,605.9400024,140.1044159,551.0200195,107.9309311,
591.9099731,137.8981323,601.8800049,138.6780701,612.0499878,126.6017914,581.9400024,165.720459,621.9099731,92.21858978,617.9400024,112.5095673,572.0499878,173.2350616,561.9400024,143.5654144,606.9500122,136.4959564,552.0499878,108.8464737,
592.9400024,133.5304565,602.8900146,132.9613495,612.9400024,122.1824112,582.9799805,157.2751923,622.9400024,87.38425446,618.8200073,108.4996185,572.9400024,167.0127106,562.9799805,139.2897797,607.9699707,130.9220123,552.9400024,110.3458939,
593.9699707,130.2415619,603.9099731,127.9753036,613.9699707,117.3558121,584.0200195,151.8108368,623.9699707,82.75721741,619.8499756,103.3525162,573.9699707,160.3985748,564.0200195,134.7380981,608.9799805,125.2692413,553.9699707,110.76577,
594.8499756,125.2651367,604.9199829,124.6862183,615,112.1084442,585.0700073,147.4654846,624.8499756,79.76587677,620.8800049,99.11236572,575,152.3040314,565.0700073,129.600708,610,120.9555893,555,109.3245544,
595.8800049,122.0075073,605.9400024,119.1539917,616.0200195,107.6799774,585.9699707,143.563858,625.8800049,75.98848724,621.9099731,94.6941452,576.0200195,146.2403564,565.9699707,125.9556274,611.0200195,116.180069,556.0200195,108.2091904,
596.9099731,117.355484,606.9500122,115.514122,617.0499878,103.7148819,587.0100098,139.1328278,626.9099731,72.70353699,622.9400024,90.22557831,577.0499878,139.8755188,567.0100098,120.6816177,612.0499878,110.5999374,557.0499878,107.2845917,
597.9400024,113.378006,607.9699707,110.6626053,617.9400024,98.68650055,588.0499878,133.233551,627.9400024,69.16481018,623.8200073,86.72236633,577.9400024,136.1126404,568.0499878,116.9004745,612.9400024,107.7966003,557.9400024,105.620224,
598.9699707,110.242012,608.8400269,107.6656265,618.9699707,94.8764801,588.9500122,129.5196533,628.9699707,65.87247467,624.8499756,82.7972641,578.9699707,129.1704102,568.9500122,113.5483246,613.9699707,102.0794983,558.9699707,103.1814117,
599.8499756,108.0467148,609.8499756,102.1528473,620,91.26187897,590,124.6928024,629.8499756,63.09287262,625.8800049,78.58261108,580,124.1211624,570,108.9294128,615,96.94338989,560,101.2861252,
600.8599854,103.6621857,610.8800049,98.75867462,621.0200195,86.66814423,591.0200195,120.8739471,630.8599854,60.73945999,626.9099731,74.89601135,581.039978,119.3176193,571.0200195,104.3234863,616.0200195,94.11478424,561.039978,98.7829895,
