0,,1,,2,,3,,4,,5,,6,,7,,8,,fondo,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
432,334.4351501,432,332.4378052,432,291.0377502,432,246.3083954,432,162.7114563,432,79.09207916,432,26.15328598,432,10.2635231,432,4.199160099,432,0.1227295026,
433.0700073,358.0261536,433.0700073,357.913269,433.0700073,315.7183228,433.0700073,262.5372314,433.0700073,173.8253326,433.0700073,85.35986328,433.0700073,30.95238113,433.0700073,11.80957031,433.0700073,4.463747025,433.0700073,0.724462688,
434,379.1512756,434,382.8181152,434,329.6739807,434,274.888031,434,186.2986755,434,90.93034363,434,31.75895691,434,12.17828083,434,4.704134464,434,0.6137228608,
435.0700073,398.3110352,435.0700073,404.260437,435.0700073,353.6148987,435.0700073,291.2251282,435.0700073,194.8638763,435.0700073,96.24719238,435.0700073,34.30239487,435.0700073,13.58462906,435.0700073,4.74608469,435.0700073,0.1268391609,
436,412.9700928,436,422.4024658,436,371.8365479,436,313.4983521,436,210.2507935,436,101.3676605,436,36.51587296,436,14.2976284,436,5.310987949,436,-0.3803245425,
437.0700073,444.4315186,437.0700073,446.3178711,437.0700073,389.9636536,437.0700073,331.7479248,437.0700073,224.1399994,437.0700073,108.1580734,437.0700073,39.61796951,437.0700073,15.05536842,437.0700073,6.259780884,437.0700073,-0.1222643331,
438,467.0517578,438,465.6138916,438,405.7090454,438,347.3671875,438,230.2485657,438,114.9911804,438,40.61708832,438,15.67594719,438,5.852143764,438,0.2461841553,
439.0700073,493.0374756,439.0700073,489.0263977,439.0700073,426.0004883,439.0700073,359.0273438,439.0700073,245.5585327,439.0700073,119.5270386,439.0700073,44.07468414,439.0700073,16.17282486,439.0700073,7.508939266,439.0700073,0,
440,503.9922485,440,507.199585,440,439.1931458,440,373.311676,440,253.1231689,440,125.1935654,440,44.68584061,440,17.42708588,440,6.519866943,440,0.504922986,
441.0599976,517.819458,441.0599976,537.8840332,441.0599976,465.9928589,441.0599976,398.2502441,441.0599976,267.6620483,441.0599976,130.3067474,441.0599976,46.40991211,441.0599976,19.10675812,441.0599976,7.651202202,441.0599976,0.6088650823,
441.9599915,549.6359253,441.9599915,559.9817505,441.9599915,482.8034668,441.9599915,411.6293335,441.9599915,283.4894714,441.9599915,138.1341705,441.9599915,51.10336685,441.9599915,18.79746056,441.9599915,7.196029663,441.9599915,0.3656307161,
443.0299988,577.8717651,443.0299988,584.1159058,443.0299988,506.9735107,443.0299988,432.2745361,443.0299988,290.8864136,443.0299988,141.1010895,443.0299988,52.36875534,443.0299988,21.013134,443.0299988,7.701863766,443.0299988,0,
443.9299927,594.173584,443.9299927,598.3417358,443.9299927,524.5723877,443.9299927,449.9681396,443.9299927,300.5035706,443.9299927,149.0190887,443.9299927,55.90290451,443.9299927,22.14393616,443.9299927,7.442322254,443.9299927,0.8732535243,
445,629.776001,445,626.7409058,445,542.7530518,445,457.8475952,445,316.9005432,445,157.7635193,445,57.61118698,445,22.41035843,445,8.012208939,445,0.3723008335,
446.0599976,649.7227783,446.0599976,640.817749,446.0599976,568.093811,446.0599976,484.2918701,446.0599976,327.5608521,446.0599976,162.5639801,446.0599976,59.19504547,446.0599976,22.82453728,446.0599976,8.878741264,446.0599976,0.8651587963,
446.9599915,678.0869751,446.9599915,665.0804443,446.9599915,579.7453003,446.9599915,496.7576294,446.9599915,338.5645142,446.9599915,169.5827637,446.9599915,62.69475174,446.9599915,24.77007866,446.9599915,7.82414341,446.9599915,0.3689129353,
