Distance_(pixels),Gray_Value
1142,159.5111
1143,160.1089
1144,161.5524
1145,161.5742
1146,161.0791
1147,160.9972
1148,161.4033
1149,161.4844
1150,161.2042
1151,160.3016
1152,161.0331
1153,162.2341
1154,162.6450
1155,162.2345
1156,160.7928
1157,160.3485
1158,160.8169
1159,161.0000
1160,161.4528
1161,161.8501
1162,161.7851
1163,161.4377
1164,160.6072
1165,160.0000
1166,160.0000
1167,160.2142
1168,160.9485
1169,161.1217
1170,161.0000
1171,161.1243
1172,161.6977
1173,160.9460
1174,160.0371
1175,159.8599
1176,159.3909
1177,159.0000
1178,159.0007
1179,159.9726
1180,160.9446
1181,159.2086
1182,157.0347
1183,156.0772
1184,158.4977
1185,159.1363
1186,159.6267
1187,159.9034
1188,160.0000
1189,160.0000
1190,160.0000
1191,160.0000
1192,159.3915
1193,158.8790
1194,158.4736
1195,158.6484
1196,158.0072
1197,157.9368
1198,159.4404
1199,159.9330
1200,159.3160
1201,158.3531
1202,158.2611
1203,157.5629
1204,156.4575
1205,156.0000
1206,156.1818
1207,157.1498
1208,157.5693
1209,157.6924
1210,158.5394
1211,157.7680
1212,158.9023
1213,158.6263
1214,156.6823
1215,156.6667
1216,157.9742
1217,158.2704
1218,159.1960
1219,156.9952
1220,156.7687
1221,157.0250
1222,156.8042
1223,156.6667
1224,157.4584
1225,157.7603
1226,158.6304
1227,158.9012
1228,158.6667
1229,158.9012
1230,159.4245
1231,159.8196
1232,160.1561
1233,160.6087
1234,160.7969
1235,161.0250
1236,160.7905
1237,160.5575
1238,160.5516
1239,160.3508
1240,159.9457
1241,158.9518
1242,157.5656
1243,155.7240
1244,155.9909
1245,156.5315
1246,155.2536
1247,153.2106
1248,153.0433
1249,154.6901
1250,156.4771
1251,156.6492
1252,157.2499
1253,158.5526
1254,159.5509
1255,159.6667
1256,159.6667
1257,159.6667
1258,160.4535
1259,160.4032
1260,157.8621
1261,154.7953
1262,153.7004
1263,154.1472
1264,155.2249
1265,156.6377
1266,157.5941
1267,157.9256
1268,157.1394
1269,156.8358
1270,157.5098
1271,157.8641
1272,157.6808
1273,157.4463
1274,156.8344
1275,156.2705
1276,156.1717
1277,155.4919
1278,156.0348
1279,157.2171
1280,157.8606
1281,158.4300
1282,158.7225
1283,159.6441
1284,157.1523
1285,157.2626
1286,156.2071
1287,155.3343
1288,155.9076
1289,157.1641
1290,157.0740
1291,154.8699
1292,154.8072
1293,156.3680
1294,157.2723
1295,157.8025
1296,157.9638
1297,157.1505
1298,155.9440
1299,155.7466
1300,155.9335
1301,156.4882
1302,156.1179
1303,154.4124
1304,153.2587
1305,153.8860
1306,155.4150
1307,155.4303
1308,154.9162
1309,155.6612
1310,156.1308
1311,156.9416
1312,157.5844
1313,157.3333
1314,157.3333
1315,156.9418
1316,154.6461
1317,154.5470
1318,156.6187
1319,157.6580
1320,157.3409
1321,157.6649
1322,159.6002
1323,160.6054
1324,161.5774
1325,161.0053
1326,160.6690
1327,160.7589
1328,162.1592
1329,162.9728
1330,162.5125
1331,162.9362
1332,164.0473
1333,163.6706
1334,163.3841
1335,164.5196
1336,165.6697
1337,166.0795
1338,165.5138
1339,164.0355
1340,161.4888
1341,159.7895
1342,160.4028
1343,160.1327
1344,157.7247
1345,154.2842
1346,152.0322
1347,151.2530
1348,153.0002
1349,155.2895
1350,159.4912
1351,160.1551
1352,160.6705
1353,160.3833
1354,160.9929
1355,160.4582
1356,160.6810
1357,161.6530
1358,160.7084
1359,160.4091
1360,160.6243
1361,161.4212
1362,160.8789
1363,159.7898
1364,160.9013
1365,162.0397
1366,161.3328
1367,158.6895
1368,158.3216
1369,158.6427
1370,158.8551
1371,158.6100
1372,156.8694
1373,153.5107
1374,150.9155
1375,150.6496
1376,152.1335
1377,152.4494
1378,151.0431
1379,149.9633
1380,149.1116
1381,148.6909
1382,148.7613
1383,147.0753
1384,146.3333
